 [ 2018-5-5 00:01:40 ] Match-Auto-Success - ID: 8Rd0 CN: Channel#1 Subscribers: 1/10 | Channels: 1
 [ 2018-6-1 19:27:13 ] Match-Create-Success - ID: ICm8 CN: asd Subscribers: 2/2 | Channels: 1
 [ 2018-6-1 19:27:42 ] Match-Create-Success - ID: myvX CN: as Subscribers: 1/2 | Channels: 2
 [ 2018-6-1 19:27:43 ] Match-Auto-Success - ID: NuDv CN: Channel#1 Subscribers: 1/10 | Channels: 1
 [ 2018-6-1 19:37:41 ] Match-Auto-Success - ID: kGdF CN: Channel#1 Subscribers: 1/10 | Channels: 1
 [ 2018-6-1 19:38:52 ] Match-Create-Success - ID: MVxf CN: Channel#1 Subscribers: 1/2 | Channels: 1
 [ 2018-6-1 19:38:56 ] Match-Auto-Success - ID: MVxf CN: Channel#1 Subscribers: 2/2 | Channels: 1
 [ 2018-6-1 20:00:32 ] Match-Auto-Success - ID: YfA2 CN: Channel#1 Subscribers: 1/10 | Channels: 1
 [ 2018-6-1 20:00:34 ] Match-Auto-Success - ID: YfA2 CN: Channel#1 Subscribers: 2/10 | Channels: 1
 [ 2018-6-1 21:28:52 ] Match-Auto-Success - ID: 5Lx6 CN: Channel#1 Subscribers: 1/10 | Channels: 1
 [ 2018-6-1 21:37:53 ] Match-Create-Success - ID: q9jE CN: 123 Subscribers: 1/2 | Channels: 1
 [ 2018-6-1 21:38:08 ] Match-Create-Success - ID: q9jE CN: 123 Subscribers: 2/2 | Channels: 1
 [ 2018-6-1 22:56:33 ] Match-Auto-Success - ID: 4xIf CN: Channel#1 Subscribers: 1/10 | Channels: 1
 [ 2018-6-1 22:56:35 ] Match-Auto-Success - ID: Mznl CN: Channel#1 Subscribers: 1/10 | Channels: 1
 [ 2018-6-1 23:00:11 ] Match-Auto-Success - ID: puoK CN: Channel#1 Subscribers: 1/10 | Channels: 1
 [ 2018-6-2 11:51:21 ] Match-Auto-Success - ID: 8Dbk CN: Channel#1 Subscribers: 1/10 | Channels: 1
 [ 2018-6-2 11:51:32 ] Match-Auto-Success - ID: 8Dbk CN: Channel#1 Subscribers: 2/10 | Channels: 1
 [ 2018-6-4 14:35:29 ] Match-Auto-Success - ID: ZVkk CN: Channel#1 Subscribers: 1/10 | Channels: 1
